lott e5e`<`D
justice e5`,8,1
paul 77``81D
boyd P`7DDP8
barton <P1,1ee
barry eP1`e<,
hatfield <<P77`1
bernard P<PP5,5
higgins 7,e,PP5
rowland ,<e1``e
hewitt 8,DDe55
lopez <P7`,1D
burke 8e15D7`
house <55777e
kline 8,8ePD<
banks 8P1<e<,
vasquez 1PDe1,`
kane e`7`D`D
huff <7<PP1<
hubbard 8,7<,81
hart 15DDe18
molina 88<78,P
abbott DP5,,,<
grimes 5P,e,,,
dawson e11PDe5
buchanan 5DPD8`e
england 5`8P877
dyer e7P<5,7
hardy e7e7588
willis ,5,DDP7
huber 5P88P7,
wilkinson 175e,5e
head 5`<118P
barnes 7Pee<7P
maxwell 15<`,eD
ware ,e51P,e
park 1`e85eD
whitfield <888e1D
greene e5P,888
velez 58e7e``
townsend ,e,,D`8
gallagher <`78e5`
levine e77,eD<
solis D85`8PP
bates e51e,1D
king e78,<e5
richards 8<8PPD,
holman DP`7`5,
weber 8e785e,
macias 18e<575
pate ,57<8PP
barrera 1P7e`7`
jacobson P,7,e,`
garza ,,ee`1P
kirby <`Pe,eP
howard PPP`P1`
oneil e,7D5,D
valdez 7,<51<,
browning ,e``75D
deleon 515,`De
austin 7`7,7<P
hopkins 1177PDP
small 7e`7D1D
tran ,D<8P1e
carson 7<D171`
marshall <P``DP<
juarez eeD7DD5
hamilton <P85eP`
mcknight 181,1e5
pennington D`,`,,D
maldonado <`185D1
clemons <e1`PP,
mendoza e`e7P17
tate D8<<`,D
bouvet P<,e85P
tanner eP7P`e`
bullock 8eP755,
malone e17D<P,
carrillo 1D18<D`
glover e58P185
moody ,`<`,<8
solomon 7P`<P<8
carney 155e7`5
johnston 7De1D5`
peck e<`8P`,
benton D`588`1
alston 5D78D8,
parks ,DeP1e8
richmond 5`8<<`5
conley 1,<58P1
bonner 87P`1De
bradley 8D,5`,D
norris P,P`8`<
miles 87P<`8<
wall <,5Pe87
cross 78ePP<<
gomez ,<81P17
harmon D7e1<`e
gibson D5D,`D1
bruce D`5P7`P
blackburn 8<8e8e7
odom 8P<,<7P
byers 171<<17
beach PDP`P<<
best 8D<7`D`
dean ,,5e1D<
nicholson e5`DP<5
todd e7D7P55
baxter 8DP<758
snyder 781De`P
lawson ,7,PDD5
terrell e8`e,71
fowler 85P5`8D
jensen P85D878
owens e5D<8`D
shaffer eP,<18P
lee 5P17De1
russo D`5e18`
gentry <7,e5P`
rogers 155<D7`
torres ee1,<8,
pierce ,<e`1ee
hendricks 1<7,,e<
powell 8,8P87,
booker DD1P8<,
payne 1P,P7<1
burnett ,`,5P,<
farmer P7151e<
mills 1<De<e5
herring ,DD15<<
christensen e,8<7e`
coffey e8P<,PD
albert <``,e85
burks ,D7D<75
bailey D811P`D
petersen 1e7e5P<
glass <P5<7D1
soto D,88P75
wooten P7<5D1`
chang 785e515
guthrie 8<5`11e
burgess 5`P1D`,
camacho ,5,,Pe7
ratliff DPD15DD
frank 1D`75P,
sparks P,P81<,
saunders 5P,<,8<
kirk 17`D<1P
sosa 87D8e8e
watson <e`<7P5
newton 857`1`1
mann 585<5,e
peterson 18P1P7`
robles 5D<5<<8
clements 7,7D815
griffith D81DD15
acosta P1eDP1P
cummings 1<58`<1
golden <```8`P
henry P178`5P
graves e75D575
underwood DDD1e`D
gutierrez P`11PD<
whitley D`77e11
cherry ,7e7e``
james <`8`17e
knowles D7e`e85
mcdonald 7<5D`,5
young D511PPP
finley <8e1<5e
stevenson <1`1D18
guerrero P885DP<
massey <,,,1<`
ramsey <D<D785
schmidt 1<78`5D
preston P87,8D<
clayton PD858,1
davis eee8<`P
gregory DD71,5,
valenzuela 8<787,,
blanchard 8<1<De<
hahn 8,5,58e
mathis 1``e778
mcdaniel D8,5e<1
vincent 8D5PP<8
hendrix ,DD87PD
moses e1D,P5D
estes D`,151D
jackson 8PD`,8<
flynn PP8855D
sims e7,758`
hawkins 7De7881
miller 8D5,`<7
weeks ,D,P8P7
dickson eD<7158
rowe 5`<,<eP
donaldson ,77`PP8
cruz 8e8158`
thomas DD7D,D<
mclean 7`,8585
merrill eP`P181
haney 7,87ee,
christian 8D5<`e`
weaver 8,D1`8`
burns 8,`<`,e
bauer 5`85<,D
fitzgerald D<81<1`
sanchez ,<DDD,1
lambert DPD5DPe
patel 1eD1e1`
espinoza <DPD5P5
shaw 78,D`P`
michael 8P<8P87
dorsey 7PP5P7,
mcmahon 7P1e788
brady 1`PD,`8
hayden e``5`77
rodriguez 1PD`D,`
bright ,P71<`,
perkins 51P1e`8
holt 7<5,75`
powers <7P`<D,
holden e5PPPee
